ISOCode3,M49_Code,Contributing_Country,Personnel_Contribution_Rank,Female_Personnel,Male_Personnel,Total_Uniformed_Personnel,Last_Reporting_Date
BGD,50,Bangladesh,1,292,6506,6798,31-Dec-20
RWA,646,Rwanda,2,579,5804,6383,31-Dec-20
ETH,231,Ethiopia,3,708,5599,6307,31-Dec-20
NPL,524,Nepal,4,309,5406,5715,31-Dec-20
IND,356,India,5,98,5327,5425,31-Dec-20
PAK,586,Pakistan,6,90,4647,4737,31-Dec-20
EGY,818,Egypt,7,83,2996,3079,31-Dec-20
IDN,360,Indonesia,8,164,2663,2827,31-Dec-20
CHN,156,China,9,80,2440,2520,31-Dec-20
GHA,288,Ghana,10,376,1930,2306,31-Dec-20
SEN,686,Senegal,11,187,2046,2233,31-Dec-20
TZA,834,Tanzania (United Republic of),12,173,1566,1739,31-Dec-20
MAR,504,Morocco,13,47,1661,1708,31-Dec-20
TGO,768,Togo,14,141,1323,1464,31-Dec-20
BFA,854,Burkina Faso,15,91,1369,1460,31-Dec-20
TCD,148,Chad,15,46,1414,1460,31-Dec-20
URY,858,Uruguay,17,86,1075,1161,31-Dec-20
CMR,120,Cameroon,18,121,982,1103,31-Dec-20
ITA,380,Italy,19,54,1023,1077,31-Dec-20
ZAF,710,South Africa,20,181,861,1042,31-Dec-20
ZMB,894,Zambia,21,151,858,1009,31-Dec-20
NER,562,Niger (the),22,52,934,986,31-Dec-20
MNG,496,Mongolia,23,64,824,888,31-Dec-20
CIV,384,Côte d'Ivoire,24,40,832,872,31-Dec-20
MYS,458,Malaysia,25,44,801,845,31-Dec-20
KHM,116,Cambodia,26,92,684,776,31-Dec-20
BDI,108,Burundi,27,33,731,764,31-Dec-20
MRT,478,Mauritania,28,4,746,750,31-Dec-20
MWI,454,Malawi,29,68,676,744,31-Dec-20
FRA,250,France,30,60,657,717,31-Dec-20
GIN,324,Guinea,31,46,660,706,31-Dec-20
LKA,144,Sri Lanka,32,10,655,665,31-Dec-20
UGA,800,Uganda,33,61,591,652,31-Dec-20
ESP,724,Spain,34,51,589,640,31-Dec-20
DEU,276,Germany,35,33,543,576,31-Dec-20
KOR,410,Korea (the Republic of),36,28,546,574,31-Dec-20
GBR,826,United Kingdom of Great Britain and Northern Ireland (the),37,40,500,540,31-Dec-20
IRL,372,Ireland,38,43,484,527,31-Dec-20
JOR,400,Jordan,39,29,488,517,31-Dec-20
BEN,204,Benin,40,34,442,476,31-Dec-20
GAB,266,Gabon,41,47,402,449,31-Dec-20
FJI,242,Fiji,42,38,300,338,31-Dec-20
NGA,566,Nigeria,43,62,249,311,31-Dec-20
UKR,804,Ukraine,44,7,301,308,31-Dec-20
THA,764,Thailand,45,13,288,301,31-Dec-20
ARG,32,Argentina,46,26,252,278,31-Dec-20
PRT,620,Portugal,47,21,242,263,31-Dec-20
SRB,688,Serbia,48,38,222,260,31-Dec-20
SLV,222,El Salvador,49,28,225,253,31-Dec-20
SVK,703,Slovakia,50,27,221,248,31-Dec-20
SWE,752,Sweden,51,47,186,233,31-Dec-20
PER,604,Peru,52,37,195,232,31-Dec-20
FIN,246,Finland,53,15,216,231,31-Dec-20
GMB,270,Gambia (the),54,40,186,226,31-Dec-20
POL,616,Poland,55,20,197,217,31-Dec-20
AUT,40,Austria,56,10,192,202,31-Dec-20
DJI,262,Djibouti,57,8,175,183,31-Dec-20
TUN,788,Tunisia,58,15,160,175,31-Dec-20
GTM,320,Guatemala,59,19,152,171,31-Dec-20
LBR,430,Liberia,60,20,148,168,31-Dec-20
KEN,404,Kenya,61,39,123,162,31-Dec-20
COG,178,Congo (the),62,21,130,151,31-Dec-20
GRC,300,Greece,63,15,122,137,31-Dec-20
KAZ,398,Kazakhstan,64,1,128,129,31-Dec-20
TUR,792,Turkey,65,1,117,118,31-Dec-20
SLE,694,Sierra Leone,66,52,53,105,31-Dec-20
ZWE,716,Zimbabwe,67,44,45,89,31-Dec-20
BRA,76,Brazil,68,8,76,84,31-Dec-20
VNM,704,Viet Nam,69,12,64,76,31-Dec-20
RUS,643,Russian Federation (the),70,13,55,68,31-Dec-20
NOR,578,Norway,71,11,47,58,31-Dec-20
BEL,56,Belgium,72,5,50,55,31-Dec-20
ROU,642,Romania,73,12,41,53,31-Dec-20
LTU,440,Lithuania,74,3,44,47,31-Dec-20
CAN,124,Canada,75,8,31,39,31-Dec-20
CHE,756,Switzerland,76,5,32,37,31-Dec-20
ARM,51,Armenia,77,2,32,34,31-Dec-20
BTN,64,Bhutan,78,4,29,33,31-Dec-20
AUS,36,Australia,79,4,27,31,31-Dec-20
PRY,600,Paraguay,79,4,27,31,31-Dec-20
BRN,96,Brunei Darussalam,81,0,30,30,31-Dec-20
USA,840,United States of America (the),81,4,26,30,31-Dec-20
BOL,68,Bolivia (Plurinational State of),83,7,22,29,31-Dec-20
NAM,516,Namibia,84,8,20,28,31-Dec-20
PHL,608,Philippines (the),85,11,16,27,31-Dec-20
MLI,466,Mali,86,4,20,24,31-Dec-20
BIH,70,Bosnia and Herzegovina,87,9,14,23,31-Dec-20
HUN,348,Hungary,88,4,18,22,31-Dec-20
NLD,528,Netherlands (the),88,4,18,22,31-Dec-20
WSM,882,Samoa,90,2,17,19,31-Dec-20
CZE,203,Czech Republic (the),91,5,11,16,31-Dec-20
HND,340,Honduras,91,4,12,16,31-Dec-20
MEX,484,Mexico,91,7,9,16,31-Dec-20
HRV,191,Croatia,94,3,12,15,31-Dec-20
DNK,208,Denmark,95,1,12,13,31-Dec-20
KGZ,417,Kyrgyzstan,95,0,13,13,31-Dec-20
CHL,152,Chile,97,0,12,12,31-Dec-20
MDG,450,Madagascar,97,2,10,12,31-Dec-20
ECU,218,Ecuador,99,5,6,11,31-Dec-20
MLT,470,Malta,99,0,11,11,31-Dec-20
MDA,498,Moldova (the Republic of),101,2,8,10,31-Dec-20
NZL,554,New Zealand,101,4,6,10,31-Dec-20
SVN,705,Slovenia,103,0,8,8,31-Dec-20
BLR,112,Belarus,104,3,4,7,31-Dec-20
DOM,214,Dominican Republic (the),104,2,5,7,31-Dec-20
TJK,762,Tajikistan,104,1,6,7,31-Dec-20
EST,233,Estonia,107,2,4,6,31-Dec-20
COL,170,Colombia,108,2,2,4,31-Dec-20
JPN,392,Japan,108,2,2,4,31-Dec-20
TLS,626,Timor-Leste,108,2,2,4,31-Dec-20
BGR,100,Bulgaria,111,1,2,3,31-Dec-20
MKD,807,Macedonia (the former Yugoslav Republic of),111,0,3,3,31-Dec-20
MNE,499,Montenegro,111,1,2,3,31-Dec-20
ALB,8,Albania,114,2,0,2,31-Dec-20
AZE,31,Azerbaijan,114,0,2,2,31-Dec-20
CYP,196,Cyprus,114,0,2,2,31-Dec-20
DZA,12,Algeria,114,0,2,2,31-Dec-20
LUX,442,Luxembourg,114,0,2,2,31-Dec-20
PNG,598,Papua New Guinea,114,0,2,2,31-Dec-20
IRN,364,Iran (Islamic Republic of),120,0,1,1,31-Dec-20
LVA,428,Latvia,120,0,1,1,31-Dec-20
QAT,634,Qatar,120,0,1,1,31-Dec-20
